CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
"! LIMITED","12778855","","","UNIT 3 NEWTON BUSINESS CENTRE","NEWTON CHAMBERS ROAD","SHEFFIELD","","UNITED KINGDOM","S35 2PH","Private Limited Company","Active","United Kingdom","","29/07/2020","31","7","29/04/2022","","NO ACCOUNTS FILED","26/08/2021","","0","0","0","0","78300 - Human resources provision and management of human resources functions","","","","0","0","http://business.data.gov.uk/id/company/12778855","","","","","","","","","","","","","","","","","","","","","11/08/2021",""
"! LTD","08209948","","","METROHOUSE 57 PEPPER ROAD","HUNSLET","LEEDS","YORKSHIRE","","LS10 2RU","Private Limited Company","Active","United Kingdom","","11/09/2012","30","9","30/06/2021","30/09/2019","DORMANT","09/10/2016","11/09/2015","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/08209948","","","","","","","","","","","","","","","","","","","","","25/09/2021","11/09/2020"
"!? LTD","11399177","","","THE STUDIO HATHERLOW HOUSE","HATHERLOW","ROMILEY","","UNITED KINGDOM","SK6 3DY","Private Limited Company","Active","United Kingdom","","05/06/2018","30","6","30/06/2021","30/06/2019","TOTAL EXEMPTION FULL","03/07/2019","","0","0","0","0","47710 - Retail sale of clothing in specialised stores","","","","0","0","http://business.data.gov.uk/id/company/11399177","","","","","","","","","","","","","","","","","","","","","19/06/2021","05/06/2020"
"!BIG IMPACT GRAPHICS LIMITED","11743365","","","372 OLD STREET","335 ROSDEN HOUSE","LONDON","","UNITED KINGDOM","EC1V 9LT","Private Limited Company","Active","United Kingdom","","28/12/2018","31","12","30/09/2021","31/12/2019","DORMANT","25/01/2020","","0","0","0","0","18129 - Printing n.e.c.","59112 - Video production activities","63120 - Web portals","74201 - Portrait photographic activities","0","0","http://business.data.gov.uk/id/company/11743365","","","","","","","","","","","","","","","","","","","","","07/02/2021","27/12/2019"
"!L PRODUCTIONS LIMITED","12402527","","","95 MARMION AVENUE","","CHINGFORD","","ENGLAND","E4 8EJ","Private Limited Company","Active","United Kingdom","","14/01/2020","31","1","14/10/2021","","NO ACCOUNTS FILED","11/02/2021","","0","0","0","0","90030 - Artistic creation","","","","0","0","http://business.data.gov.uk/id/company/12402527","","","","","","","","","","","","","","","","","","","","","24/02/2021",""
"!NKED LTD","12234705","","","29 CORRY DRIVE","","LONDON","","UNITED KINGDOM","SW9 8QS","Private Limited Company","Active","United Kingdom","","30/09/2019","30","9","30/06/2021","","NO ACCOUNTS FILED","28/10/2020","","0","0","0","0","47710 - Retail sale of clothing in specialised stores","","","","0","0","http://business.data.gov.uk/id/company/12234705","","","","","","","","","","","","","","","","","","","","","13/10/2021","29/09/2020"
"!NNOV8 LIMITED","11006939","","","OLD BARN FARM","HARTFIELD ROAD","EDENBRIDGE","","ENGLAND","TN8 5NF","Private Limited Company","Active","United Kingdom","","11/10/2017","31","3","31/03/2021","31/03/2019","","08/11/2018","","0","0","0","0","62090 - Other information technology service activities","70229 - Management consultancy activities other than financial management","","","0","0","http://business.data.gov.uk/id/company/11006939","","","","","","","","","","","","","","","","","","","","","24/10/2021","10/10/2020"
"!NSPIRED INVESTMENTS LTD","SC606050","","","26 POLMUIR ROAD","","ABERDEEN","","SCOTLAND","AB11 7SY","Private Limited Company","Active","United Kingdom","","22/08/2018","31","8","31/05/2021","31/08/2019","TOTAL EXEMPTION FULL","19/09/2019","","2","2","0","0","68209 - Other letting and operating of own or leased real estate","","","","0","0","http://business.data.gov.uk/id/company/SC606050","","","","","","","","","","","","","","","","","","","","","12/03/2021","29/01/2020"
"!NSPIRED LTD","SC421617","","","26 POLMUIR ROAD","","ABERDEEN","","UNITED KINGDOM","AB11 7SY","Private Limited Company","Active","United Kingdom","","11/04/2012","30","3","30/12/2021","30/03/2020","TOTAL EXEMPTION FULL","09/05/2017","11/04/2016","0","0","0","0","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/SC421617","","","","","","","","","","","","","","","","","","","","","25/04/2021","11/04/2020"
"!NVERTD DESIGNS LIMITED","09152972","","","10 PENNARD ROAD","","LONDON","","ENGLAND","W12 8DS","Private Limited Company","Active","United Kingdom","","30/07/2014","31","7","30/04/2021","31/07/2019","","27/08/2016","30/07/2015","0","0","0","0","58190 - Other publishing activities","","","","0","0","http://business.data.gov.uk/id/company/09152972","","","","","","","","","","","","","","","","","","","","","13/08/2021","30/07/2020"
